text@iau1978m	@iau1978m	372.75	374.968	масару будет смотреть как вы выступаете?
text@iau1978m	@iau1978m	375.418	376.916	а любит смотреть как вы готовитесь?
text@iau1978m	@iau1978m	384.333	388.8	что означает / э / когда она сама катается на лёд? вы ее выталкиваете на лёд и она просто едет?
text@iau1978m	@iau1978m	395.733	397.516	я точно так же повел себя в первый раз
text@iau1978m	@iau1978m	401.148	409.083	расскажите мне про ваши пла... / п... / про ваши костюмы / как они создаются? кто придумывает их / кто их шьет? / это же / ну / тоже такое дело / э / сложное 
text@iau1978m	@iau1978m	409.083	418.282	это очень интересно потому что всегда когда вы выходите / на лед / мы всегда смотрим и отдельно отмечаем не только ваше мастерство / но и ваш / э / внешний вид и облик
words@iau1978m	@iau1978m	105.12	105.352	Здрасьте
words@iau1978m	@iau1978m	105.352	105.584	/
words@iau1978m	@iau1978m	105.584	105.816	спасибо
words@iau1978m	@iau1978m	105.816	106.048	что
words@iau1978m	@iau1978m	106.048	106.28	вы
words@iau1978m	@iau1978m	106.28	106.512	к
words@iau1978m	@iau1978m	106.512	106.744	нам
words@iau1978m	@iau1978m	106.744	106.98	пришли
words@iau1978m	@iau1978m	107.435	107.695	и
words@iau1978m	@iau1978m	107.695	107.955	в...
words@iau1978m	@iau1978m	107.955	108.215	эта
words@iau1978m	@iau1978m	108.215	108.475	вода
words@iau1978m	@iau1978m	108.475	108.735	вам
words@iau1978m	@iau1978m	108.735	108.995	/
words@iau1978m	@iau1978m	108.995	109.26	ааа
words@iau1978m	@iau1978m	110.047	110.248	э
words@iau1978m	@iau1978m	110.248	110.449	\
words@iau1978m	@iau1978m	110.449	110.65	ну
words@iau1978m	@iau1978m	110.65	110.851	\
words@iau1978m	@iau1978m	110.851	111.052	во...
words@iau1978m	@iau1978m	111.052	111.253	\
words@iau1978m	@iau1978m	111.253	111.46	и
words@iau1978m	@iau1978m	111.46	111.728	ничего
words@iau1978m	@iau1978m	111.728	111.996	не
words@iau1978m	@iau1978m	111.996	112.264	мо...
words@iau1978m	@iau1978m	112.264	112.532	давайте
words@iau1978m	@iau1978m	112.532	112.8	поговорим
words@iau1978m	@iau1978m	112.8	113.068	на...
words@iau1978m	@iau1978m	113.068	113.336	начнем
words@iau1978m	@iau1978m	113.336	113.604	с
words@iau1978m	@iau1978m	113.604	113.872	тем...
words@iau1978m	@iau1978m	113.872	114.14	вы
words@iau1978m	@iau1978m	114.14	114.408	#нрзб#
words@iau1978m	@iau1978m	114.408	114.676	не
words@iau1978m	@iau1978m	114.676	114.946	одна
words@iau1978m	@iau1978m	115.69	115.86	я
words@iau1978m	@iau1978m	115.86	116.03	правильно
words@iau1978m	@iau1978m	116.03	116.2	понимаю
words@iau1978m	@iau1978m	116.2	116.37	что
words@iau1978m	@iau1978m	116.37	116.54	/
words@iau1978m	@iau1978m	116.54	116.71	э
words@iau1978m	@iau1978m	116.71	116.88	/
words@iau1978m	@iau1978m	116.88	117.05	да
words@iau1978m	@iau1978m	117.05	117.22	/
words@iau1978m	@iau1978m	117.22	117.39	что
words@iau1978m	@iau1978m	117.39	117.56	/
words@iau1978m	@iau1978m	117.56	117.73	это
words@iau1978m	@iau1978m	117.73	117.9	/
words@iau1978m	@iau1978m	117.9	118.07	вы
words@iau1978m	@iau1978m	118.07	118.24	вышли
words@iau1978m	@iau1978m	118.24	118.41	не
words@iau1978m	@iau1978m	118.41	118.58	одна
words@iau1978m	@iau1978m	118.58	118.75	потому
words@iau1978m	@iau1978m	118.75	118.93	что
words@iau1978m	@iau1978m	118.93	119.226	в...
words@iau1978m	@iau1978m	119.226	119.522	вы
words@iau1978m	@iau1978m	119.522	119.818	/
words@iau1978m	@iau1978m	119.818	120.114	не
words@iau1978m	@iau1978m	120.114	120.41	можете
words@iau1978m	@iau1978m	120.41	120.706	отпустить
words@iau1978m	@iau1978m	120.706	121.002	вашу
words@iau1978m	@iau1978m	121.002	121.3	собаку
words@iau1978m	@iau1978m	121.315	121.564	#нрзб#
words@iau1978m	@iau1978m	121.564	121.813	она
words@iau1978m	@iau1978m	121.813	122.062	всегда
words@iau1978m	@iau1978m	122.062	122.311	ходит
words@iau1978m	@iau1978m	122.311	122.56	с
words@iau1978m	@iau1978m	122.56	122.81	вами
words@iau1978m	@iau1978m	123.03	123.23	да
words@iau1978m	@iau1978m	123.23	123.43	?
words@iau1978m	@iau1978m	123.78	124.13	мхм
words@iau1978m	@iau1978m	124.705	124.975	так
words@iau1978m	@iau1978m	124.975	125.245	/
words@iau1978m	@iau1978m	125.245	125.515	расскажите
words@iau1978m	@iau1978m	125.515	125.785	пожалуйста
words@iau1978m	@iau1978m	125.785	126.055	/
